feature,mean_abs_shap,country
lag_1,3.2408649629114006,China
roll_mean_7,0.1321080830461651,China
month,0.09433419594920961,China
lag_7,0.0768554925194488,China
dayofweek,0.057371499743814745,China
lag_30,0.042419101390119826,China
roll_std_7,0.03765444415595007,China
lag_1,1.1815378003167296,United States
dayofweek,0.2012594652499115,United States
lag_7,0.15516062296768965,United States
month,0.05820045830985447,United States
roll_mean_7,0.045034652973309726,United States
lag_30,0.03692227053237725,United States
roll_std_7,0.02772648502538101,United States
lag_1,0.5838883781058812,India
dayofweek,0.0663340366946734,India
lag_7,0.036443248499809,India
month,0.028977234070370193,India
roll_std_7,0.027152469830842605,India
roll_mean_7,0.019371827139956888,India
lag_30,0.018443619865048232,India
lag_1,0.7276175196927792,EU27
dayofweek,0.26685553302888027,EU27
lag_7,0.16804671186407905,EU27
roll_mean_7,0.10682764771663464,EU27
lag_30,0.029174608692466006,EU27
roll_std_7,0.026524524857934214,EU27
month,0.024161001640666722,EU27
lag_1,0.8289802733916173,Russian Federation
dayofweek,0.03311277634154904,Russian Federation
roll_mean_7,0.009825254285856875,Russian Federation
roll_std_7,0.009359583427521174,Russian Federation
lag_30,0.008835228951270042,Russian Federation
lag_7,0.006875436813882899,Russian Federation
month,0.0052863682026140805,Russian Federation
lag_1,0.47955103878777905,Japan
dayofweek,0.07676796277054813,Japan
lag_7,0.041335222232029505,Japan
roll_mean_7,0.02010503726920701,Japan
lag_30,0.011551105856595205,Japan
month,0.010968890383141786,Japan
roll_std_7,0.008604029728270299,Japan
lag_1,0.16269643812572965,Brazil
lag_7,0.031173391546901227,Brazil
dayofweek,0.02375482476623,Brazil
roll_mean_7,0.009907796000860827,Brazil
month,0.008600269678806869,Brazil
lag_30,0.0072657910140195205,Brazil
roll_std_7,0.006905460752202405,Brazil
lag_1,0.10055739286025167,United Kingdom
dayofweek,0.0440556922670178,United Kingdom
roll_mean_7,0.015367061438220704,United Kingdom
month,0.011470275557743858,United Kingdom
lag_7,0.010482213421263188,United Kingdom
lag_30,0.004442086833856125,United Kingdom
roll_std_7,0.004125570956713463,United Kingdom
lag_1,1.3227294256157711,ROW
dayofweek,0.3767848484502531,ROW
roll_mean_7,0.16275684918634303,ROW
lag_7,0.10741461791806994,ROW
roll_std_7,0.04195607780082969,ROW
month,0.03587460031000141,ROW
lag_30,0.020900029322448277,ROW
