date,country,sector,mtco2_per_day
2024-01-01,Brazil,Domestic Aviation,0.0174593
2024-01-01,Brazil,Ground Transport,0.210128
2024-01-01,Brazil,Industry,0.49245
2024-01-01,Brazil,International Aviation,0.0191335
2024-01-01,Brazil,Power,0.0784245
2024-01-01,Brazil,Residential,0.0010916
2024-01-02,Brazil,Domestic Aviation,0.0266004
2024-01-02,Brazil,Ground Transport,0.462064
2024-01-02,Brazil,Industry,0.516479
2024-01-02,Brazil,International Aviation,0.0208079
2024-01-02,Brazil,Power,0.0822512
2024-01-02,Brazil,Residential,6.89033e-05
2024-01-03,Brazil,Domestic Aviation,0.0275404
2024-01-03,Brazil,Ground Transport,0.547678
2024-01-03,Brazil,Industry,0.481497
2024-01-03,Brazil,International Aviation,0.0214851
2024-01-03,Brazil,Power,0.0766802
2024-01-03,Brazil,Residential,0.000276846
2024-01-04,Brazil,Domestic Aviation,0.0267273
2024-01-04,Brazil,Ground Transport,0.549509
2024-01-04,Brazil,Industry,0.501697
2024-01-04,Brazil,International Aviation,0.0210862
2024-01-04,Brazil,Power,0.0798971
2024-01-04,Brazil,Residential,0.000248106
2024-01-05,Brazil,Domestic Aviation,0.0272151
2024-01-05,Brazil,Ground Transport,0.545342
2024-01-05,Brazil,Industry,0.480982
2024-01-05,Brazil,International Aviation,0.0204246
2024-01-05,Brazil,Power,0.0765982
2024-01-05,Brazil,Residential,9.87546e-05
2024-01-06,Brazil,Domestic Aviation,0.0254798
2024-01-06,Brazil,Ground Transport,0.432327
2024-01-06,Brazil,Industry,0.277733
2024-01-06,Brazil,International Aviation,0.0213134
2024-01-06,Brazil,Power,0.0442301
2024-01-06,Brazil,Residential,0.0
2024-01-07,Brazil,Domestic Aviation,0.0248329
2024-01-07,Brazil,Ground Transport,0.2996
2024-01-07,Brazil,Industry,0.328626
2024-01-07,Brazil,International Aviation,0.0222168
2024-01-07,Brazil,Power,0.0523349
2024-01-07,Brazil,Residential,0.0
2024-01-08,Brazil,Domestic Aviation,0.0258719
2024-01-08,Brazil,Ground Transport,0.578261
2024-01-08,Brazil,Industry,0.5454
2024-01-08,Brazil,International Aviation,0.0216751
2024-01-08,Brazil,Power,0.086857
2024-01-08,Brazil,Residential,0.0
2024-01-09,Brazil,Domestic Aviation,0.0264015
2024-01-09,Brazil,Ground Transport,0.592588
2024-01-09,Brazil,Industry,0.64949
2024-01-09,Brazil,International Aviation,0.022365
2024-01-09,Brazil,Power,0.103434
2024-01-09,Brazil,Residential,0.0
2024-01-10,Brazil,Domestic Aviation,0.0267564
2024-01-10,Brazil,Ground Transport,0.596682
2024-01-10,Brazil,Industry,0.754651
2024-01-10,Brazil,International Aviation,0.0202089
2024-01-10,Brazil,Power,0.120181
2024-01-10,Brazil,Residential,0.0
2024-01-11,Brazil,Domestic Aviation,0.0263336
2024-01-11,Brazil,Ground Transport,0.595215
2024-01-11,Brazil,Industry,0.654411
2024-01-11,Brazil,International Aviation,0.0198475
2024-01-11,Brazil,Power,0.104217
2024-01-11,Brazil,Residential,0.0
2024-01-12,Brazil,Domestic Aviation,0.0267022
2024-01-12,Brazil,Ground Transport,0.602639
2024-01-12,Brazil,Industry,0.566383
2024-01-12,Brazil,International Aviation,0.0197815
2024-01-12,Brazil,Power,0.0901986
2024-01-12,Brazil,Residential,0.000108972
2024-01-13,Brazil,Domestic Aviation,0.0256033
2024-01-13,Brazil,Ground Transport,0.499336
2024-01-13,Brazil,Industry,0.441902
2024-01-13,Brazil,International Aviation,0.0215033
2024-01-13,Brazil,Power,0.0703746
2024-01-13,Brazil,Residential,0.000269546
2024-01-14,Brazil,Domestic Aviation,0.0252873
2024-01-14,Brazil,Ground Transport,0.346778
2024-01-14,Brazil,Industry,0.378203
2024-01-14,Brazil,International Aviation,0.0199128
2024-01-14,Brazil,Power,0.0602302
2024-01-14,Brazil,Residential,0.0
2024-01-15,Brazil,Domestic Aviation,0.0261594
2024-01-15,Brazil,Ground Transport,0.583838
2024-01-15,Brazil,Industry,0.367157
2024-01-15,Brazil,International Aviation,0.0204525
2024-01-15,Brazil,Power,0.0584712
2024-01-15,Brazil,Residential,0.0
2024-01-16,Brazil,Domestic Aviation,0.0263279
2024-01-16,Brazil,Ground Transport,0.60241
2024-01-16,Brazil,Industry,0.327891
2024-01-16,Brazil,International Aviation,0.0211747
2024-01-16,Brazil,Power,0.0522179
2024-01-16,Brazil,Residential,0.0
2024-01-17,Brazil,Domestic Aviation,0.0261191
2024-01-17,Brazil,Ground Transport,0.606724
2024-01-17,Brazil,Industry,0.398119
2024-01-17,Brazil,International Aviation,0.0192563
2024-01-17,Brazil,Power,0.0634019
2024-01-17,Brazil,Residential,0.0
2024-01-18,Brazil,Domestic Aviation,0.0267142
2024-01-18,Brazil,Ground Transport,0.60704
